| 1006 |   1493 | Pi 0 h 38 And      |  0 18 38.256563 |  +31 31  2.00764 | +00056.74 | -00003.91 |1991.02 |   0.62 |   0.38 |1990.98 |   0.37 |   0.32 |   6.00 |   0.77 |  H  | -005.3 |   5.88 |     |  21  |  2  |     | -0000.69 | +0009.31 | +0011.87 | +0018.03 | -0011.18 | +0007.45 | +0008.87 | -0050.54 | -0000.39 | +0001.06 | +0001.35 | -0000.17 | -0000.81 | -0001.24 | +0000.84 | +0001.00 | -0002.07 | -0001.17 |1984.51 |1991.06 |1991.06 |1960.15 |   8.21 |   0.62 |   0.62 |  17.67 |   0.47 |   0.62 |   0.67 |   0.77 |   0.57 |1985.90 |1990.99 |1990.99 |1955.58 |   8.54 |   0.37 |   0.38 |  22.07 |   0.51 |   0.40 |   0.41 |   0.89 |   0.62 |   5.89 |   5.99 |   6.00 |   0.76 |   0.77 |   0.77 | +0021.41 | +0029.21 | +0001.10 | -0000.52 |     8.23 |     6.68 |     0.28 |     0.20 |  1  |   3.44 |   3.76 |   3.76 |   1.06 |     |
|    9 |   1562 | iota Cet           |  0 19 25.674749 |  - 8 49 26.10549 | -00014.04 | -00036.49 |1991.27 |   0.72 |   0.23 |1991.27 |   0.43 |   0.22 |  11.26 |   0.73 |  H  | +018.6 |   3.56 |  1  |  25  |  2  |     | -0013.62 | -0002.73 | -0002.90 | -0074.20 | +0001.87 | -0011.13 | -0011.74 | -0009.92 | -0000.15 | -0000.31 | -0000.33 | -0000.94 | +0000.45 | +0000.45 | -0001.28 | -0001.35 | +0000.34 | +0000.56 |1970.66 |1991.39 |1991.39 |1943.93 |   9.17 |   0.72 |   0.72 |  13.89 |   0.29 |   0.71 |   0.76 |   0.45 |   0.29 |1971.90 |1991.30 |1991.30 |1932.95 |   9.96 |   0.43 |   0.43 |  17.29 |   0.29 |   0.41 |   0.42 |   0.51 |   0.30 |  11.38 |  11.27 |  11.26 |   0.73 |   0.73 |   0.73 | +0002.38 | -0027.12 | +0001.20 | +0000.05 |     7.09 |     5.84 |     0.26 |     0.18 |  1  |   2.64 |   3.86 |   3.94 |   2.61 |   7 |
|   10 |   1599 | zeta Tuc           |  0 20  4.259830 |  -64 52 29.24846 | +01707.15 | +01165.27 |1991.33 |   0.46 |   0.41 |1991.18 |   0.51 |   0.41 | 116.38 |   0.64 |  H  | +009.4 |   4.23 |     |  11  |  1  |  3  | -0002.83 | +0001.64 | +0001.73 | -0007.44 | -0002.57 | +0002.72 | +0002.89 | -0004.42 | -0000.30 | +0000.19 | +0000.20 | -0000.41 | -0000.28 | -0000.32 | +0000.31 | +0000.33 | -0000.37 | -0000.34 |1981.49 |1991.34 |1991.34 |1957.53 |  15.11 |   0.46 |   0.46 |  28.08 |   0.71 |   0.51 |   0.52 |   1.09 |   0.83 |1980.70 |1991.19 |1991.19 |1944.61 |  15.77 |   0.51 |   0.51 |  33.16 |   0.63 |   0.57 |   0.58 |   1.06 |   0.71 | 116.36 | 116.38 | 116.38 |   0.64 |   0.64 |   0.64 | +0014.96 | +0053.48 | -0001.26 | -0001.00 |    11.39 |     8.61 |     0.40 |     0.27 |  1  |   0.74 |   0.88 |   1.51 |   0.07 |   8 |
| 1007 |   1600 | -18^o 41 Cet       |  0 20  2.952939 |  -17 42  1.55929 | +00037.79 | -00006.54 |1991.15 |   0.72 |   0.53 |1991.45 |   0.51 |   0.40 |   4.09 |   0.93 |  H  | -063.9 |   6.73 |     |  21  |  2  |     | +0010.19 | +0001.17 | +0001.08 | +0254.97 | -0000.87 | -0001.11 | -0001.54 | -0091.36 | +0000.12 | +0000.14 | +0000.13 | +0004.37 | -0003.02 | +0000.16 | -0000.13 | -0000.18 | -0001.25 | +0001.00 |1988.29 |1991.18 |1991.18 |1961.92 |   7.34 |   0.72 |   0.72 |  23.19 |   0.59 |   0.84 |   1.04 |   0.97 |   0.79 |1988.52 |1991.46 |1991.46 |1955.57 |   7.42 |   0.51 |   0.51 |  26.71 |   0.58 |   0.49 |   0.53 |   1.08 |   0.74 |   4.09 |   4.10 |   4.09 |   0.89 |   0.91 |   0.93 | +0010.45 | -0028.96 | +0000.42 | +0000.19 |     8.30 |     6.00 |     0.25 |     0.21 |  1  |   3.17 |   2.86 |   0.90 |   6.14 |     |
| 1008 |   1645 | 41 Psc             |  0 20 35.861837 |  + 8 11 24.97890 | -00004.08 | +00009.84 |1991.16 |   0.68 |   0.30 |1991.62 |   0.52 |   0.27 |   8.26 |   0.81 |  H  | +015.9 |   5.38 |     |  11  |  1  |  3  | -0001.65 | -0003.12 | -0003.64 | -0016.53 | -0003.22 | -0001.83 | -0002.08 | -0041.00 | +0000.07 | -0000.36 | -0000.42 | -0000.14 | +0000.28 | +0000.02 | -0000.22 | -0000.25 | -0000.45 | +0000.35 |1980.26 |1991.24 |1991.24 |1954.31 |   8.98 |   0.68 |   0.68 |  16.46 |   0.38 |   0.57 |   0.60 |   0.58 |   0.45 |1980.89 |1991.65 |1991.65 |1945.01 |   9.43 |   0.52 |   0.52 |  19.90 |   0.37 |   0.45 |   0.47 |   0.59 |   0.43 |   8.29 |   8.26 |   8.26 |   0.79 |   0.81 |   0.81 | -0022.69 | -0017.69 | +0002.29 | -0001.19 |     6.98 |     5.86 |     0.26 |     0.19 |  1  |   0.47 |   1.19 |   2.25 |   1.24 |     |
| 1009 |   1686 | rho And            |  0 21  7.268919 |  +37 58  6.97565 | +00058.17 | -00039.16 |1990.90 |   0.53 |   0.33 |1991.30 |   0.46 |   0.32 |  20.42 |   0.73 |  H  | +009.1 |   5.16 |     |  11  |  1  |  3  | +0004.87 | +0001.40 | +0001.40 | +0020.26 | -0002.69 | -0003.98 | -0004.24 | -0039.14 | -0000.01 | +0000.15 | +0000.15 | +0000.26 | -0000.34 | +0000.33 | -0000.46 | -0000.49 | -0000.16 | +0000.76 |1976.30 |1990.94 |1990.94 |1961.08 |  10.59 |   0.53 |   0.53 |  15.04 |   0.47 |   0.57 |   0.58 |   0.65 |   0.50 |1978.35 |1991.33 |1991.33 |1950.39 |  12.32 |   0.46 |   0.46 |  21.93 |   0.48 |   0.46 |   0.47 |   0.73 |   0.54 |  20.53 |  20.43 |  20.42 |   0.73 |   0.73 |   0.73 | +0016.10 | +0037.78 | +0001.17 | -0000.48 |     8.74 |     6.31 |     0.27 |     0.22 |  1  |   0.39 |   1.92 |   0.98 |   1.25 |     |
| 1010 |   2006 | 44 Psc             |  0 25 24.208166 |  + 1 56 22.89418 | -00014.70 | -00012.70 |1991.29 |   0.81 |   0.27 |1991.77 |   0.60 |   0.25 |   5.50 |   1.03 |  H  | -004.1 |   5.77 |     |  23  |  2  |     | +0004.05 | +0002.49 | +0003.17 | +0035.20 | -0009.30 | -0001.59 | -0001.50 | -0126.14 | +0000.01 | +0000.29 | +0000.37 | +0000.47 | -0000.33 | -0000.07 | -0000.20 | -0000.19 | -0001.61 | +0000.70 |1979.57 |1991.45 |1991.46 |1952.24 |   7.46 |   0.81 |   0.81 |  13.61 |   0.31 |   0.75 |   0.88 |   0.50 |   0.35 |1979.94 |1991.83 |1991.83 |1942.95 |   7.79 |   0.60 |   0.60 |  16.05 |   0.30 |   0.57 |   0.63 |   0.54 |   0.33 |   5.62 |   5.49 |   5.50 |   0.97 |   1.02 |   1.03 | -0022.95 | -0013.01 | +0001.19 | -0000.89 |     6.40 |     5.60 |     0.25 |     0.17 |  1  |   1.83 |   1.80 |   1.33 |   3.88 |   9 |
|   11 |   2021 | beta Hyi           |  0 25 45.071096 |  -77 15 15.28279 | +02219.56 | +00325.44 |1991.29 |   0.42 |   0.32 |1991.21 |   0.45 |   0.30 | 133.78 |   0.51 |  H  | +023.3 |   2.82 |     |  31  |     |     | +0013.30 | +0002.50 | +0002.58 | +0106.85 | -0008.35 | -0001.40 | -0001.40 | -0102.32 | -0000.12 | +0000.29 | +0000.30 | +0000.97 | -0001.05 | +0000.07 | -0000.16 | -0000.16 | -0000.93 | +0000.60 |1975.84 |1991.30 |1991.30 |1943.89 |  14.76 |   0.42 |   0.42 |  25.86 |   0.49 |   0.47 |   0.48 |   0.76 |   0.55 |1973.83 |1991.22 |1991.22 |1928.53 |  15.27 |   0.45 |   0.45 |  28.97 |   0.44 |   0.48 |   0.49 |   0.76 |   0.46 | 133.79 | 133.78 | 133.78 |   0.51 |   0.51 |   0.51 | +0143.25 | +0026.10 | -0005.93 | -0000.81 |    14.60 |    10.77 |     0.50 |     0.33 |  1  |   1.24 |   2.34 |   1.50 |   2.82 |     |
| 1012 |   2224 | 48 Psc             |  0 28 12.703689 |  +16 26 42.24356 | +00017.99 | -00013.68 |1991.16 |   0.60 |   0.37 |1991.32 |   0.47 |   0.32 |   2.93 |   0.72 |  H  | -007.0 |   6.05 |  1  |  28  |  2  |     | -0001.11 | +0002.59 | +0003.41 | +0021.12 | +0004.08 | -0005.87 | -0007.70 | -0037.23 | -0000.31 | +0000.29 | +0000.38 | +0000.00 | -0000.72 | +0000.70 | -0000.68 | -0000.89 | +0000.23 | +0001.26 |1987.44 |1991.21 |1991.21 |1962.22 |   6.13 |   0.60 |   0.60 |  16.95 |   0.45 |   0.56 |   0.63 |   0.75 |   0.59 |1987.55 |1991.35 |1991.35 |1953.26 |   6.24 |   0.47 |   0.47 |  19.95 |   0.42 |   0.43 |   0.47 |   0.80 |   0.52 |   3.10 |   2.97 |   2.93 |   0.72 |   0.72 |   0.72 | -0023.80 | +0006.80 | +0000.71 | -0001.05 |     8.26 |     6.02 |     0.27 |     0.21 |  1  |   1.31 |   3.52 |   1.09 |   1.32 |  10 |
|   14 |   2381 | 49 G. Cet          |  0 30 22.654590 |  -23 47 15.65291 | -00026.08 | +00013.54 |1991.48 |   0.67 |   0.39 |1991.50 |   0.51 |   0.38 |  18.08 |   0.90 |  H  | -000.1 |   5.17 |     |  19  |     |  1  | +0007.43 | -0006.40 | -0007.41 | +0041.93 | -0005.73 | +0003.44 | +0003.70 | -0037.74 | +0000.34 | -0000.75 | -0000.87 | +0000.89 | -0000.02 | -0000.40 | +0000.40 | +0000.43 | -0000.86 | -0000.18 |1979.13 |1991.53 |1991.53 |1953.36 |  11.87 |   0.67 |   0.67 |  20.98 |   0.49 |   0.80 |   0.85 |   0.75 |   0.55 |1981.27 |1991.53 |1991.53 |1946.67 |  12.68 |   0.51 |   0.51 |  26.77 |   0.53 |   0.60 |   0.62 |   0.87 |   0.60 |  17.99 |  18.08 |  18.08 |   0.89 |   0.90 |   0.90 | +0000.51 | -0030.36 | +0000.90 | +0000.02 |     8.33 |     6.36 |     0.28 |     0.20 |  1  |   2.07 |   1.19 |   1.78 |   1.17 |  11 |
